subdet,layer,waferu,waferv,tc_eta,tc_phi
1,1,-1,-6,1.9597682,-1.9386806
1,1,-1,-5,2.1467705,-1.9054699
1,1,-1,-4,2.3822744,-1.8526163
1,1,-1,-3,2.683574,-1.7610476
1,1,-1,-2,3.0062163,-1.5693948
1,1,-1,1,3.004371,0.52521056
1,1,-1,2,2.6825478,0.7139705
1,1,-1,3,2.382716,0.80312324
1,1,-1,4,2.1447034,0.8547696
1,1,-1,5,1.9590385,0.88976175
1,1,-1,6,1.7973893,0.9208567
1,1,-1,7,1.6688722,0.93194205
1,1,-1,8,1.5614822,0.94194394
1,1,0,-8,1.6176538,-2.0996096
1,1,0,-7,1.7352647,-2.0950844
1,1,0,-6,1.887101,-2.0955064
1,1,0,-5,2.063706,-2.0957284
1,1,0,-4,2.2770765,-2.0963526
1,1,0,-3,2.5599942,-2.0957062
1,1,0,-2,2.9346657,-2.09427
1,1,0,2,2.9354734,1.0472026
1,1,0,3,2.5606174,1.0492977
1,1,0,4,2.2793088,1.0472664
1,1,0,5,2.0652752,1.0477107
1,1,0,6,1.8858013,1.0468488
1,1,0,7,1.7385616,1.0489814
1,1,0,8,1.6165507,1.0492505
1,1,1,-8,1.5559655,-2.1986697
1,1,1,-7,1.6713912,-2.2079387
1,1,1,-6,1.8034431,-2.2313905
1,1,1,-5,1.958093,-2.249941
1,1,1,-4,2.1509442,-2.2848182
1,1,1,-3,2.378285,-2.339496
1,1,1,-2,2.6829607,-2.4275517
1,1,1,-1,2.9970453,-2.6186104
1,1,1,2,2.9990005,1.5717033
1,1,1,3,2.6834764,1.3821303
1,1,1,4,2.379823,1.2895758
1,1,1,5,2.148649,1.2370114
1,1,1,6,1.9558007,1.2042646
1,1,1,7,1.8027946,1.1808983
1,1,1,8,1.6654769,1.1666006
1,1,1,9,1.5542353,1.1507362
1,1,2,-7,1.592991,-2.3103948
1,1,2,-6,1.7156993,-2.3349655
1,1,2,-5,1.845594,-2.3778296
1,1,2,-4,2.0113745,-2.4215872
1,1,2,-3,2.1954656,-2.5039709
1,1,2,-2,2.4216123,-2.6174371
1,1,2,-1,2.6864655,-2.809027
1,1,2,0,2.9348695,0.028803062
1,1,2,1,3.005897,2.6212454
1,1,2,2,2.9378762,2.0911481
1,1,2,3,2.6837106,1.760754
1,1,2,4,2.4199638,1.5716519
1,1,2,5,2.1982443,1.4543122
1,1,2,6,2.0083683,1.381473
1,1,2,7,1.8455005,1.330434
1,1,2,8,1.7151731,1.2873971
1,1,2,9,1.5935389,1.2575471
1,1,3,-7,1.5364013,-2.3938715
1,1,3,-6,1.6210786,-2.4292316
1,1,3,-5,1.7433553,-2.4738169
1,1,3,-4,1.8716122,-2.5382109
1,1,3,-3,2.0232646,-2.6197968
1,1,3,-2,2.1956944,-2.7355921
1,1,3,-1,2.3804138,-2.9022605
1,1,3,0,2.5607278,0.020114325
1,1,3,1,2.6844628,2.8081853
1,1,3,2,2.6842744,2.4279256
1,1,3,3,2.560249,2.094672
1,1,3,4,2.3781838,1.853324
1,1,3,5,2.1941035,1.6860566
1,1,3,6,2.021934,1.5695357
